2020-06-17T16:35:43.983+0300	INFO	9283a.mesh         	new layer hash	{"node_id": "9283a", "event": true, "layer_id": 3405, "layer_hash": "a20c895148a1fe5b215494c3adb1bcd6fb9d15bb4e5ef3c0b2dca95e1e47c999"}
2020-06-17T16:35:43.983+0300	INFO	9283a.mesh         	done validating layer 3407	{"node_id": "9283a"}
2020-06-17T16:35:43.983+0300	INFO	9283a.sync         	syncing layer	{"node_id": "9283a", "current_sync_layer": 3408, "last_ticked_layer": 3412}
2020-06-17T16:35:43.983+0300	INFO	9283a.sync         .peers        	now connected	{"node_id": "9283a", "n_peers": 3}
2020-06-17T16:35:43.983+0300	INFO	9283a.sync         	fetch layer hash	{"node_id": "9283a", "layer_id": 3408}
2020-06-17T16:35:43.983+0300	INFO	9283a.sync         .peers        	now connected	{"node_id": "9283a", "n_peers": 3}
2020-06-17T16:35:44.177+0300	INFO	9283a.sync         	layer 3408 has blocks	{"node_id": "9283a"}
2020-06-17T16:35:44.177+0300	INFO	9283a.sync         	fetch layer ids	{"node_id": "9283a", "layer_id": 3408}
2020-06-17T16:35:44.388+0300	INFO	9283a.sync         	layer 3408 wait for 51 blocks	{"node_id": "9283a"}
2020-06-17T16:35:44.388+0300	INFO	9283a.sync         .peers        	now connected	{"node_id": "9283a", "n_peers": 3}
